product_id,brand_name,pants_description,price,mrp,discount_percent,ratings,number_of_ratings
746,Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,2.3,34
747,Roadster,Light Fade Stretchable Jeans,594,1699,0.65,4.5,8
748,glitchez,Men Korean Baggy Jeans,681,2199,0.69,3.9,89
749,Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5
750,Kolor Fusion,Men Jeans,999,2499,0.6,3.6,9
751,WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57
752,Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5
753,Being Human,Men Slim Fit Jeans,1169,2999,0.61,4.2,14
754,Roadster,Straight Fit Stretchable Jeans,560,1699,0.67,3.4,12
755,WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42
756,glitchez,Men Loose Bootcut Jeans,615,2199,0.72,3.6,55
757,Mast & Harbour,Mid-Rise Cargo Styles Jeans,979,2799,0.65,3.6,55
758,Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63
759,HERE&NOW,Men Straight Fit Jeans,730,1699,0.57,3.5,10
760,Roadster,Men Straight Fit Jeans,519,1299,0.6,3.5,369
761,Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,3.5,369
762,Mast & Harbour,Men Printed Stretchable Jeans,769,2199,0.65,4.1,27
763,The Indian Garage Co,Men Slim Fit Jeans,758,2299,0.67,4.2,2100
764,Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264
765,Roadster,Men Straight Fit Jeans,809,2699,0.7,4,6
766,glitchez,Men Korean Baggy Fit Jeans,637,2199,0.71,4.1,91
767,Calvin Klein Jeans,Men Slim Fit Jeans,637,2199,0.71,4.1,91
768,WROGN,Men Anti Fit Jeans,874,2499,0.65,4.3,32
769,Roadster,Men Light Fade Relaxed Jeans,869,2999,0.71,3.7,50
770,WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130
771,Mast & Harbour,Men Slim Fit Cargo Jeans,755,2799,0.73,4.2,530
772,Roadster,Men Mid-Rise Jeans,791,2399,0.67,4.2,13
773,Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,4.2,13
774,W.T.F - Witnessing True Fashion,Men Relaxed Fit Jeans,1399,3999,26,4.2,20
775,Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31
776,glitchez,Men Loose Fit Ripped Jeans,639,1999,0.68,3.9,52
777,bigbanana,Plus Size Men Mid Rise Jeans,1329,3499,0.62,4.4,13
778,Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,4.4,13
779,Moda Rapido,Men Slim Tapered Fit Jeans,818,2099,0.61,4,343
780,Mast & Harbour,Men Regular Fit Mid-Rise Jeans,764,1699,0.55,4.1,56
